"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9489","Removing The product from the cart","webkit","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","9997","Product price recalculates after currency switch","chromium","2026-08-03","passed","2026-08-03","","header.currency.spec.ts","",""
"","9964","Changing product quantity recalculates total number and sum","webkit","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","2752","Not checked Privacy Policy checkbox","chromium","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","36060","e2e checkout flow with multiple items, Bank Transfer, no comment","webkit","2026-08-03","passed","2026-08-03","Checkout e2e","checkout.e2e.multipleItems.spec.ts","",""
"","5141","Invalid Email","webkit","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","2589","Empty E-Mail Address and Password","chromium","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","3456","Too short telephone","firefox","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","9552","Empty Last Name field","chromium","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","7015","Empty Password","Mobile Safari","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","20401","Empty City field","webkit","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","2691","Search shows no product for special characters","chromium","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","8511","Applying an invalid coupon","chromium","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","23401","Checkout is blocked when Terms and Conditions is not accepted","Mobile Safari","2026-08-03","passed","2026-08-03","","checkout.negative.spec.ts","",""
"","3580","Invalid E-Mail Address","firefox","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","60845","e2e checkout flow with multiple items, Bank Transfer, no comment","chromium","2026-08-03","broken","2026-08-03","Checkout e2e","checkout.e2e.multipleItems.spec.ts","",""
"","4410","Successful login","firefox","2026-08-03","passed","2026-08-03","","login.spec.ts","",""
"","4722","Search shows no product for empty query","Mobile Safari","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","9565","BUG: no-results message incorrectly shows ""Your shopping cart is empty!"" instead of a proper no-results message","Mobile Safari","2026-08-03","passed","2026-08-03","","search.negative.spec.ts","",""
"","11942","Product price recalculates after currency switch","webkit","2026-08-03","passed","2026-08-03","","header.currency.spec.ts","",""
"","5226","Successful registration","firefox","2026-08-03","passed","2026-08-03","","register.spec.ts","",""
"","4717","Empty Password","webkit","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","14548","Empty Last Name field","firefox","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","6479","authenticate","setup","2026-08-03","passed","2026-08-03","","setup/auth.setup.ts","",""
"","3068","Empty E-Mail Address","chromium","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","10870","Applying an invalid coupon","Mobile Safari","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","8118","BUG: no-results message incorrectly shows ""Your shopping cart is empty!"" instead of a proper no-results message","webkit","2026-08-03","passed","2026-08-03","","search.negative.spec.ts","",""
"","10672","Product price recalculates after currency switch","firefox","2026-08-03","passed","2026-08-03","","header.currency.spec.ts","",""
"","2882","Registration with already existing email","chromium","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","5142","Empty First Name field","firefox","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","3771","Search shows no product for special characters","webkit","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","6589","Adding a product to the cart and checking its name and quantity in the cart","firefox","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","0","e2e test with 1 item, method 'Cash On Delivery' — parses order summary table","chromium","2026-08-03","skipped","2026-08-03","","checkout.ordersummary.spec.ts","",""
"","10501","Removing The product from the cart","Mobile Safari","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","4035","Not checked Privacy Policy checkbox","Mobile Safari","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","2745","Successful login","chromium","2026-08-03","passed","2026-08-03","","login.spec.ts","",""
"","44352","e2e checkout flow with multiple items, Bank Transfer, no comment","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout e2e","checkout.e2e.multipleItems.spec.ts","",""
"","4118","Adding a product to the wish list","webkit","2026-08-03","passed","2026-08-03","","wishlist.spec.ts","",""
"","11807","Adding a product to the cart and checking its name and quantity in the cart","webkit","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","6144","Adding a product to the wish list","Mobile Safari","2026-08-03","passed","2026-08-03","","wishlist.spec.ts","",""
"","2861","Passwords don't coincide","chromium","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","3656","Not checked Privacy Policy checkbox","webkit","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","6387","Removing The product from the cart","chromium","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","4884","Empty E-Mail Address","Mobile Safari","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","33636","e2e test with 1 item, method 'Cash On Delivery' and comment","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout e2e","checkout.e2e.singleItem.spec.ts","",""
"","5881","Successful registration","Mobile Safari","2026-08-03","passed","2026-08-03","","register.spec.ts","",""
"","5340","Invalid E-Mail Address","Mobile Safari","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","2631","Invalid E-Mail Address","chromium","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","15292","Empty First Name field","firefox","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","2615","Search shows no product for product doesn't exist","chromium","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","18764","Empty Last Name field","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","4102","Successful login","webkit","2026-08-03","passed","2026-08-03","","login.spec.ts","",""
